user_id,age,gender,city,platform,ad_type,ad_category,clicked,converted,spend_egp,timestamp,device_type,os,traffic_source,campaign_id,ad_id,ad_text,conversion_value_egp,impression_count_per_user
1,55,F,Giza,YouTube,Video,Food & Beverage,0,0,4,2025-03-07 02:42:00,Tablet,Windows,Organic,1059,5037,Buy now and save 20%,0,3
2,29,M,Aswan,Facebook,Video,Travel,0,0,9,2025-03-05 11:43:00,Tablet,Windows,Social,1046,5094,Book your travel today,0,5
3,25,M,Luxor,Google Ads,Display,Electronics,0,1,29,2025-02-01 11:23:00,Desktop,Android,Social,1008,5056,Order online fast delivery,339,1
4,37,F,Giza,Facebook,Video,Electronics,1,0,3,2025-02-22 22:39:00,Desktop,Android,Paid,1066,5006,Check our new collection,0,9
5,28,M,Cairo,Facebook,Display,Food & Beverage,1,0,48,2025-01-17 17:31:00,Desktop,iOS,Paid,1068,5066,Check our new collection,0,5
6,60,F,Cairo,Instagram,Search,Electronics,0,0,26,2025-01-29 20:42:00,Tablet,Android,Paid,1098,5069,Top-rated gadgets on sale,0,1
7,27,F,Aswan,YouTube,Display,Food & Beverage,0,0,34,2025-03-24 02:41:00,Tablet,Android,Organic,1020,5036,Limited offer!,363,6
8,36,M,Aswan,Google Ads,Display,Fashion,0,0,25,2025-02-05 21:09:00,Mobile,Windows,Social,1048,5072,Buy now and save 20%,0,2
9,34,F,Cairo,YouTube,Video,Food & Beverage,0,1,27,2025-02-24 06:52:00,Tablet,Android,Organic,1085,5009,Book your travel today,0,6
10,49,F,Alexandria,Instagram,Search,Travel,0,1,35,2025-01-07 18:23:00,Mobile,iOS,Paid,1007,5075,Book your travel today,0,8
11,28,M,Mansoura,Instagram,Video,Gaming,0,0,44,2025-01-30 02:41:00,Tablet,Windows,Social,1026,5058,Buy now and save 20%,0,8
12,49,M,Cairo,Facebook,Video,Electronics,0,0,10,2025-01-17 19:10:00,Desktop,iOS,Social,1099,5008,Order online fast delivery,0,10
13,59,F,Luxor,Facebook,Display,Food & Beverage,1,0,13,2025-03-02 20:08:00,Mobile,Windows,Social,1051,5004,Limited offer!,0,3
14,59,F,Alexandria,Google Ads,Video,Travel,0,0,50,2025-02-06 18:17:00,Mobile,iOS,Social,1076,5092,Limited offer!,0,2
15,45,F,Aswan,Instagram,Display,Electronics,1,0,32,2025-02-05 11:58:00,Mobile,iOS,Social,1095,5078,Order online fast delivery,0,7
16,19,M,Cairo,Google Ads,Display,Food & Beverage,1,1,34,2025-03-30 11:22:00,Tablet,Windows,Paid,1084,5098,Check our new collection,0,6
17,28,M,Cairo,Instagram,Display,Food & Beverage,1,0,13,2025-01-21 09:31:00,Desktop,iOS,Paid,1044,5030,Limited offer!,0,10
18,26,M,Luxor,Instagram,Video,Fashion,0,1,44,2025-02-01 17:11:00,Desktop,Android,Social,1011,5043,Check our new collection,1578,7
19,56,F,Cairo,Instagram,Search,Electronics,1,0,10,2025-02-22 04:25:00,Desktop,iOS,Social,1005,5054,Limited offer!,1081,9
20,47,M,Cairo,Google Ads,Video,Food & Beverage,1,0,31,2025-02-09 05:29:00,Desktop,Android,Organic,1003,5001,Book your travel today,0,1
21,60,M,Cairo,Facebook,Display,Fashion,0,1,19,2025-03-04 03:32:00,Desktop,Android,Paid,1078,5066,Book your travel today,0,7
22,36,M,Cairo,Google Ads,Search,Food & Beverage,1,0,47,2025-01-15 09:28:00,Tablet,Windows,Social,1092,5093,Limited offer!,0,8
23,30,M,Mansoura,Instagram,Display,Food & Beverage,0,0,39,2025-01-29 23:56:00,Mobile,iOS,Social,1015,5038,Order online fast delivery,0,10
24,29,M,Cairo,Facebook,Display,Fashion,0,0,6,2025-01-23 22:21:00,Mobile,iOS,Organic,1092,5025,Order online fast delivery,781,3
25,39,M,Cairo,YouTube,Display,Electronics,0,0,16,2025-03-04 19:04:00,Mobile,Android,Paid,1093,5059,Limited offer!,0,5
26,57,F,Luxor,Facebook,Display,Travel,1,0,41,2025-03-19 20:22:00,Desktop,Android,Organic,1061,5070,Limited offer!,0,8
27,46,F,Giza,YouTube,Video,Travel,0,1,39,2025-03-09 23:12:00,Tablet,Windows,Organic,1072,5071,Limited offer!,0,1
28,44,F,Cairo,Facebook,Display,Travel,0,0,49,2025-01-22 19:11:00,Tablet,Android,Paid,1025,5019,Order online fast delivery,1082,4
29,18,M,Cairo,Facebook,Display,Gaming,0,0,9,2025-01-01 13:42:00,Tablet,Android,Social,1011,5028,Order online fast delivery,0,1
30,42,F,Cairo,Facebook,Video,Fashion,0,0,21,2025-03-31 18:28:00,Tablet,Windows,Social,1039,5064,Limited offer!,0,1
31,24,M,Cairo,Facebook,Video,Fashion,0,1,23,2025-01-07 05:43:00,Mobile,iOS,Social,1024,5098,Check our new collection,0,8
32,33,M,Mansoura,Facebook,Video,Fashion,0,0,43,2025-03-06 06:42:00,Mobile,Windows,Paid,1097,5028,Top-rated gadgets on sale,0,3
33,33,M,Cairo,Instagram,Video,Travel,0,0,2,2025-03-06 04:32:00,Mobile,Android,Paid,1001,5048,Limited offer!,0,3
34,58,F,Cairo,YouTube,Video,Electronics,1,0,37,2025-02-03 01:47:00,Tablet,Windows,Social,1020,5015,Book your travel today,0,4
35,43,M,Luxor,YouTube,Display,Food & Beverage,0,0,29,2025-02-07 21:12:00,Mobile,iOS,Paid,1033,5014,Top-rated gadgets on sale,0,4
36,50,M,Giza,Facebook,Video,Fashion,0,1,38,2025-02-27 05:10:00,Tablet,Windows,Organic,1033,5098,Buy now and save 20%,0,2
